name,latitude,longitude,has_ebikes,free_bikes,renting,returning,slots
Vallières / St-Laurent,45.518967223320054,-73.5836161673069,True,4,1,1,23
Duluth / de l'Esplanade,45.515132275425785,-73.58105599880219,True,12,1,1,23
Hogan / Ontario,45.535295480380306,-73.55116009712219,True,2,1,1,11
la Fontaine / Alexandre-de-Sève,45.52330366033427,-73.55799973011017,True,17,1,1,19
Ste-Catherine / Union,45.50373771539475,-73.56948494911194,True,3,1,1,34
Chabot / Mont-Royal,45.53413436610844,-73.57352435588837,True,0,1,1,23
Gauthier / Papineau,45.52966629503036,-73.56733649969101,True,12,1,1,23
Messier / du Mont-Royal,45.53711414,-73.5710031,True,6,1,1,23
Laval / du Mont-Royal,45.5223645775784,-73.58414590358734,True,1,1,1,15
Jeanne-Mance / Sherbrooke,45.50928678961862,-73.57101917266846,True,14,1,1,25
Métro Laurier (Berri / St-Joseph),45.52723106564012,-73.58672618865965,True,1,1,1,18
Pontiac / Gilford,45.527009334270645,-73.58576595783234,True,18,1,1,23
Christophe-Colomb / St-Joseph,45.53036486555959,-73.58439266681671,True,5,1,1,23
Cartier / St-Joseph,45.53582823686429,-73.57869029045105,True,1,1,1,19
Métro Frontenac (Ontario / du Havre),45.533705987798946,-73.55217933654784,True,8,1,1,23
Roy / St-Denis,45.51908,-73.5727,True,15,1,1,26
Maguire / Henri-Julien,45.527041096087785,-73.59347056655677,True,0,1,1,19
Laurier / de Brébeuf,45.532513956311426,-73.58481109142303,True,0,1,1,31
Laurier / de Bordeaux,45.53727946481992,-73.5791677236557,True,4,1,1,23
Henri-Julien / du Carmel,45.52795093787009,-73.59502326697111,True,1,1,1,23
Cartier / Masson,45.5380207402854,-73.58352363109587,True,6,1,1,19
Parc Ludger-Duvernay (St-André / St-Hubert),45.53147464147482,-73.59242051839828,True,0,1,1,19
Boucher / St-Denis,45.527930077456865,-73.59183847904205,True,2,1,1,23
Drolet / Marie-Anne,45.522402573414084,-73.58117669820786,True,3,1,1,19
St-André / Rachel,45.52435318759273,-73.57596650719643,True,4,1,1,15
Parc Jeanne-Mance (monument à sir George-Étienne Cartier),45.514866433022796,-73.58475860237377,True,7,1,1,43
Roy / St-André,45.521564270906616,-73.57036739587784,True,13,1,1,23
Garnier / St-Joseph,45.5330129192707,-73.58128666877745,True,1,1,1,19
de l'Esplanade / Fairmount,45.521495731487576,-73.5968267172575,True,1,1,1,19
Jeanne-Mance / St-Viateur,45.523026476635074,-73.60184043645859,True,1,1,1,23
du Parc-La Fontaine / Duluth,45.52451761488783,-73.57197672128677,True,13,1,1,22
